date_time,latitude,longitude,Depth  (km),mag,Location
2023-12-12 23:57:00,8.56,126.75,12,1.5,050  km N 66° E of Hinatuan (Surigao Del Sur)
2023-12-12 23:28:00,10.04,125.84,45,2.6,020  km N 65° W of San Benito (Surigao Del Norte)
2023-12-12 23:28:00,8.47,126.87,3,1.8,059  km N 79° E of Hinatuan (Surigao Del Sur)
2023-12-12 23:22:00,8.53,127.67,29,2.7,148  km N 83° E of Hinatuan (Surigao Del Sur)
2023-12-12 23:15:00,8.71,127.6,32,2.8,144  km N 76° E of Hinatuan (Surigao Del Sur)
2023-12-12 23:09:00,9.14,127.4,43,2.1,123  km N 79° E of Cagwait (Surigao Del Sur)
2023-12-12 22:58:00,8.52,126.74,8,2.1,047  km N 69° E of Hinatuan (Surigao Del Sur)
2023-12-12 22:44:00,8.53,127.23,31,2.5,100  km N 80° E of Hinatuan (Surigao Del Sur)
2023-12-12 22:44:00,9.62,126.06,59,2.0,010  km East of Socorro (Surigao Del Norte)
2023-12-12 22:24:00,8.48,126.45,29,1.6,018  km N 44° E of Hinatuan (Surigao Del Sur)
2023-12-12 22:16:00,8.27,126.7,20,3.2,042  km S 75° E of Hinatuan (Surigao Del Sur)
2023-12-12 22:08:00,8.37,126.62,25,1.8,031  km N 89° E of Hinatuan (Surigao Del Sur)
2023-12-12 21:58:00,8.58,126.72,14,5.1,048  km N 61° E of Hinatuan (Surigao Del Sur)
2023-12-12 21:52:00,8.73,127.45,39,2.8,127  km S 87° E of Marihatag (Surigao Del Sur)
2023-12-12 21:39:00,9.7,126.85,24,2.2,076  km S 83° E of General Luna (Surigao Del Norte)
2023-12-12 21:34:00,8.27,127.14,3,3.3,084  km N 72° E of Lingig (Surigao Del Sur)
2023-12-12 21:32:00,8.25,126.62,14,2.6,034  km S 68° E of Hinatuan (Surigao Del Sur)
2023-12-12 21:25:00,8.45,126.85,17,1.4,058  km N 80° E of Hinatuan (Surigao Del Sur)
2023-12-12 21:11:00,8.61,127.35,28,2.7,115  km N 77° E of Hinatuan (Surigao Del Sur)
2023-12-12 21:02:00,16.08,121.82,19,2.5,016  km S 64° W of Dinalungan (Aurora)
2023-12-12 21:02:00,9.77,126.11,32,1.4,005  km S 73° W of General Luna (Surigao Del Norte)
