date_time,latitude,longitude,Depth  (km),mag,Location,Cluster
2023-12-12 23:57:00,8.56,126.75,12,1.5,050  km N 66° E of Hinatuan (Surigao Del Sur),0
2023-12-12 23:28:00,8.47,126.87,3,1.8,059  km N 79° E of Hinatuan (Surigao Del Sur),0
2023-12-12 22:58:00,8.52,126.74,8,2.1,047  km N 69° E of Hinatuan (Surigao Del Sur),0
2023-12-12 21:25:00,8.45,126.85,17,1.4,058  km N 80° E of Hinatuan (Surigao Del Sur),0
2023-12-12 19:23:00,8.44,126.65,5,2.1,035  km N 76° E of Hinatuan (Surigao Del Sur),0
2023-12-12 19:21:00,8.56,126.76,21,2.7,052  km N 65° E of Hinatuan (Surigao Del Sur),0
2023-12-12 18:06:00,8.44,126.65,33,1.4,035  km N 77° E of Hinatuan (Surigao Del Sur),0
2023-12-12 16:17:00,8.47,126.74,4,4.1,046  km N 76° E of Hinatuan (Surigao Del Sur),0
2023-12-12 15:37:00,8.45,126.68,33,1.9,039  km N 76° E of Hinatuan (Surigao Del Sur),0
2023-12-12 12:46:00,8.42,126.71,10,2.2,042  km N 81° E of Hinatuan (Surigao Del Sur),0
2023-12-12 09:48:00,8.48,126.76,16,3.5,048  km N 75° E of Hinatuan (Surigao Del Sur),0
2023-12-12 07:33:00,8.34,126.9,1,3.5,063  km S 88° E of Hinatuan (Surigao Del Sur),0
2023-12-12 07:19:00,8.41,126.79,1,3.2,051  km N 85° E of Hinatuan (Surigao Del Sur),0
2023-12-12 06:26:00,8.55,126.84,12,2.7,059  km N 70° E of Hinatuan (Surigao Del Sur),0
2023-12-12 06:13:00,8.51,126.81,2,3.7,054  km N 73° E of Hinatuan (Surigao Del Sur),0
2023-12-12 05:07:00,8.34,126.79,6,1.7,050  km S 87° E of Hinatuan (Surigao Del Sur),0
2023-12-12 04:27:00,8.4,126.83,13,3.7,054  km N 87° E of Hinatuan (Surigao Del Sur),0
2023-12-12 03:14:00,8.47,126.66,32,2.0,038  km N 72° E of Hinatuan (Surigao Del Sur),0
2023-12-12 02:02:00,8.32,126.85,18,2.2,057  km S 84° E of Hinatuan (Surigao Del Sur),0
2023-12-11 21:44:00,8.54,126.69,24,2.4,044  km N 65° E of Hinatuan (Surigao Del Sur),0
2023-12-11 18:44:00,8.42,126.66,32,2.0,036  km N 80° E of Hinatuan (Surigao Del Sur),0
2023-12-11 17:49:00,8.38,126.72,33,1.8,042  km N 88° E of Hinatuan (Surigao Del Sur),0
2023-12-11 14:13:00,8.43,126.68,9,2.2,039  km N 80° E of Hinatuan (Surigao Del Sur),0
2023-12-11 13:39:00,8.5,126.93,6,2.9,067  km N 77° E of Hinatuan (Surigao Del Sur),0
2023-12-11 11:25:00,8.48,126.66,32,2.9,038  km N 71° E of Hinatuan (Surigao Del Sur),0
2023-12-11 10:21:00,8.45,126.75,10,2.3,046  km N 79° E of Hinatuan (Surigao Del Sur),0
2023-12-11 09:00:00,8.47,126.67,26,2.5,038  km N 72° E of Hinatuan (Surigao Del Sur),0
2023-12-11 05:41:00,8.48,126.68,29,1.7,040  km N 72° E of Hinatuan (Surigao Del Sur),0
2023-12-11 03:27:00,8.48,126.67,8,1.5,038  km N 71° E of Hinatuan (Surigao Del Sur),0
2023-12-11 03:02:00,8.48,126.82,9,2.5,055  km N 77° E of Hinatuan (Surigao Del Sur),0
2023-12-11 02:12:00,8.4,126.76,22,2.1,047  km N 85° E of Hinatuan (Surigao Del Sur),0
2023-12-11 02:06:00,8.41,126.68,6,2.2,038  km N 82° E of Hinatuan (Surigao Del Sur),0
2023-12-11 02:03:00,8.55,126.77,19,2.2,052  km N 67° E of Hinatuan (Surigao Del Sur),0
2023-12-10 23:58:00,8.39,126.77,1,2.7,047  km N 86° E of Hinatuan (Surigao Del Sur),0
2023-12-10 23:51:00,8.48,126.74,22,1.9,046  km N 74° E of Hinatuan (Surigao Del Sur),0
2023-12-10 23:40:00,8.4,126.92,19,2.5,065  km N 87° E of Hinatuan (Surigao Del Sur),0
2023-12-10 23:30:00,8.54,126.75,8,2.4,050  km N 67° E of Hinatuan (Surigao Del Sur),0
2023-12-10 22:57:00,8.54,126.8,1,3.9,055  km N 69° E of Hinatuan (Surigao Del Sur),0
2023-12-10 22:25:00,8.44,126.76,11,2.1,047  km N 81° E of Hinatuan (Surigao Del Sur),0
2023-12-10 21:56:00,8.43,126.62,24,2.5,032  km N 78° E of Hinatuan (Surigao Del Sur),0
2023-12-10 19:23:00,8.52,126.82,27,2.2,056  km N 73° E of Hinatuan (Surigao Del Sur),0
2023-12-10 18:20:00,8.48,126.77,2,3.3,049  km N 76° E of Hinatuan (Surigao Del Sur),0
2023-12-10 16:32:00,8.55,126.83,18,4.3,058  km N 69° E of Hinatuan (Surigao Del Sur),0
2023-12-10 16:05:00,8.51,126.68,10,2.1,041  km N 67° E of Hinatuan (Surigao Del Sur),0
2023-12-10 15:40:00,8.48,126.66,29,1.7,038  km N 70° E of Hinatuan (Surigao Del Sur),0
2023-12-10 15:28:00,8.56,126.79,7,2.4,054  km N 67° E of Hinatuan (Surigao Del Sur),0
2023-12-10 14:38:00,8.45,126.78,7,1.6,050  km N 80° E of Hinatuan (Surigao Del Sur),0
2023-12-10 12:42:00,8.58,126.74,5,2.7,050  km N 61° E of Hinatuan (Surigao Del Sur),0
2023-12-10 11:55:00,8.37,126.75,4,2.5,046  km N 89° E of Hinatuan (Surigao Del Sur),0
2023-12-10 10:37:00,8.48,126.92,19,3.4,066  km N 79° E of Hinatuan (Surigao Del Sur),0
2023-12-10 10:07:00,8.44,126.65,33,2.0,036  km N 77° E of Hinatuan (Surigao Del Sur),0
2023-12-10 08:19:00,8.5,126.83,6,2.1,057  km N 75° E of Hinatuan (Surigao Del Sur),0
2023-12-10 07:58:00,8.43,126.72,1,3.9,043  km N 81° E of Hinatuan (Surigao Del Sur),0
2023-12-10 07:22:00,8.51,126.66,29,2.6,039  km N 66° E of Hinatuan (Surigao Del Sur),0
2023-12-10 05:40:00,8.48,126.86,5,2.5,059  km N 78° E of Hinatuan (Surigao Del Sur),0
2023-12-10 05:24:00,8.44,126.85,11,2.2,057  km N 81° E of Hinatuan (Surigao Del Sur),0
2023-12-10 05:14:00,8.4,126.85,9,2.2,056  km N 86° E of Hinatuan (Surigao Del Sur),0
2023-12-10 04:28:00,8.46,126.74,5,1.7,045  km N 77° E of Hinatuan (Surigao Del Sur),0
2023-12-10 03:06:00,8.46,126.85,82,2.4,058  km N 80° E of Hinatuan (Surigao Del Sur),0
2023-12-10 02:38:00,8.43,126.76,25,1.6,047  km N 81° E of Hinatuan (Surigao Del Sur),0
2023-12-10 02:33:00,8.47,126.65,30,1.8,037  km N 71° E of Hinatuan (Surigao Del Sur),0
2023-12-10 02:16:00,8.43,126.59,29,1.8,029  km N 77° E of Hinatuan (Surigao Del Sur),0
2023-12-10 02:10:00,8.4,126.7,4,1.9,040  km N 85° E of Hinatuan (Surigao Del Sur),0
2023-12-10 02:03:00,8.42,126.59,26,1.8,028  km N 78° E of Hinatuan (Surigao Del Sur),0
2023-12-10 01:50:00,8.42,126.74,10,3.4,044  km N 83° E of Hinatuan (Surigao Del Sur),0
2023-12-10 01:22:00,8.49,126.87,19,2.1,061  km N 77° E of Hinatuan (Surigao Del Sur),0
2023-12-09 23:48:00,8.36,126.88,6,3.1,059  km S 89° E of Hinatuan (Surigao Del Sur),0
2023-12-09 23:35:00,8.44,126.63,22,2.3,033  km N 76° E of Hinatuan (Surigao Del Sur),0
2023-12-09 23:16:00,8.51,126.7,9,3.1,043  km N 69° E of Hinatuan (Surigao Del Sur),0
2023-12-09 22:51:00,8.36,126.84,12,1.4,055  km S 90° E of Hinatuan (Surigao Del Sur),0
2023-12-09 22:24:00,8.36,126.78,8,2.7,049  km S 89° E of Hinatuan (Surigao Del Sur),0
2023-12-09 21:52:00,8.54,126.79,26,2.3,053  km N 69° E of Hinatuan (Surigao Del Sur),0
2023-12-09 21:46:00,8.52,126.75,4,2.6,049  km N 69° E of Hinatuan (Surigao Del Sur),0
